Tabelle: 12211-9039;;;
Bevölkerung in Privathaushalten: Deutschland, Jahre (bis;;;
2019), Geschlecht, Familienstand, Altersgruppen;;;
Mikrozensus;;;
Deutschland;;;
Bevölkerung in Privathaushalten (1000);;;
;;;2017
männlich;ledig;unter 20 Jahre;7850
;;20 bis unter 25 Jahre;2336
;;25 bis unter 30 Jahre;2353
;;30 bis unter 35 Jahre;1657
;;35 bis unter 40 Jahre;1130
;;40 bis unter 45 Jahre;784
;;45 bis unter 50 Jahre;825
;;50 bis unter 55 Jahre;751
;;55 bis unter 60 Jahre;483
;;60 bis unter 65 Jahre;281
;;65 bis unter 70 Jahre;175
;;70 bis unter 75 Jahre;94
;;75 Jahre und mehr;134
;verheiratet zusammen lebend;unter 20 Jahre;/
;;20 bis unter 25 Jahre;45
;;25 bis unter 30 Jahre;414
;;30 bis unter 35 Jahre;951
;;35 bis unter 40 Jahre;1329
;;40 bis unter 45 Jahre;1419
;;45 bis unter 50 Jahre;1827
;;50 bis unter 55 Jahre;2185
;;55 bis unter 60 Jahre;2092
;;60 bis unter 65 Jahre;1863
;;65 bis unter 70 Jahre;1709
;;70 bis unter 75 Jahre;1291
;;75 Jahre und mehr;2622
;verheiratet getrennt lebend;unter 20 Jahre;/
;;20 bis unter 25 Jahre;15
;;25 bis unter 30 Jahre;36
;;30 bis unter 35 Jahre;64
;;35 bis unter 40 Jahre;82
;;40 bis unter 45 Jahre;100
;;45 bis unter 50 Jahre;117
;;50 bis unter 55 Jahre;134
;;55 bis unter 60 Jahre;116
;;60 bis unter 65 Jahre;88
;;65 bis unter 70 Jahre;64
;;70 bis unter 75 Jahre;40
;;75 Jahre und mehr;73
;verwitwet;unter 20 Jahre;/
;;20 bis unter 25 Jahre;/
;;25 bis unter 30 Jahre;/
;;30 bis unter 35 Jahre;/
;;35 bis unter 40 Jahre;/
;;40 bis unter 45 Jahre;6
;;45 bis unter 50 Jahre;15
;;50 bis unter 55 Jahre;32
;;55 bis unter 60 Jahre;48
;;60 bis unter 65 Jahre;74
;;65 bis unter 70 Jahre;106
;;70 bis unter 75 Jahre;131
;;75 Jahre und mehr;666
;geschieden;unter 20 Jahre;/
;;20 bis unter 25 Jahre;/
;;25 bis unter 30 Jahre;15
;;30 bis unter 35 Jahre;56
;;35 bis unter 40 Jahre;120
;;40 bis unter 45 Jahre;192
;;45 bis unter 50 Jahre;317
;;50 bis unter 55 Jahre;455
;;55 bis unter 60 Jahre;438
