Tabelle: 12612-0052
Kinderlosenquote: Bundesländer (Aggregate), Jahre,;;;;
Altersgruppen der Frauen;;;;
Statistik der Geburten;;;;;;;;
Kinderlosenquote (Prozent);;;;;;;;
;Bundesländer (Aggregate);;;;;;;
;Westdeutsche Flächenländer;;Ostdeutsche Flächenländer;;Stadtstaaten;;Insgesamt;
2022;;;;;;;;
25 bis unter 30 Jahre;74;p;65;p;83;p;74;p
30 bis unter 35 Jahre;45;p;33;p;60;p;45;p
35 bis unter 40 Jahre;26;p;20;p;36;p;26;p
40 bis unter 45 Jahre;21;p;16;p;29;p;21;p
45 bis unter 50 Jahre;20;e;15;e;24;e;20;e
50 bis unter 55 Jahre;21;e;14;e;26;e;21;e
55 bis unter 60 Jahre;21;e;10;e;27;e;20;e
60 bis unter 65 Jahre;19;e;8;e;25;e;18;e
65 bis unter 70 Jahre;17;e;7;e;22;e;16;e
70 bis unter 76 Jahre;14;e;7;e;23;e;14;e
__________
"Quelle: 
Mikrozensus (Bevölkerung in Hauptwohnsitzhaushalten)"
© Statistisches Bundesamt (Destatis), 2026
Stand: 18.02.2026 / 17:07:00
