Germany, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        ASFR
1956     12-    0.00000
1956     13     0.00001
1956     14     0.00019
1956     15     0.00126
1956     16     0.00566
1956     17     0.01950
1956     18     0.04569
1956     19     0.07650
1956     20     0.10309
1956     21     0.12560
1956     22     0.14162
1956     23     0.14940
1956     24     0.15101
1956     25     0.14803
1956     26     0.14214
1956     27     0.13579
1956     28     0.12795
1956     29     0.11853
1956     30     0.10662
1956     31     0.09742
1956     32     0.08923
1956     33     0.07858
1956     34     0.06906
1956     35     0.05958
1956     36     0.05148
1956     37     0.04391
1956     38     0.03614
1956     39     0.02928
1956     40     0.02237
1956     41     0.01665
1956     42     0.01176
1956     43     0.00764
1956     44     0.00460
1956     45     0.00215
1956     46     0.00096
1956     47     0.00049
1956     48     0.00024
1956     49     0.00011
1956     50     0.00005
1956     51     0.00003
1956     52     0.00001
1956     53     0.00001
1956     54     0.00000
1956     55+    0.00000
1957     12-    0.00000
1957     13     0.00001
1957     14     0.00021
1957     15     0.00139
1957     16     0.00617
1957     17     0.02080
1957     18     0.04597
1957     19     0.07747
1957     20     0.10536
1957     21     0.12727
1957     22     0.14448
1957     23     0.15419
1957     24     0.15789
1957     25     0.15660
1957     26     0.14909
1957     27     0.14010
1957     28     0.13111
1957     29     0.12082
1957     30     0.11011
1957     31     0.09813
1957     32     0.08869
1957     33     0.08030
1957     34     0.07034
1957     35     0.06110
1957     36     0.05158
1957     37     0.04371
1957     38     0.03644
1957     39     0.02893
1957     40     0.02254
1957     41     0.01615
1957     42     0.01131
1957     43     0.00751
1957     44     0.00437
1957     45     0.00218
1957     46     0.00104
1957     47     0.00054
1957     48     0.00027
1957     49     0.00013
1957     50     0.00006
1957     51     0.00003
1957     52     0.00001
1957     53     0.00001
1957     54     0.00000
1957     55+    0.00000
1958     12-    0.00000
1958     13     0.00001
1958     14     0.00021
1958     15     0.00140
1958     16     0.00638
1958     17     0.02082
1958     18     0.04621
1958     19     0.07571
1958     20     0.10351
1958     21     0.12671
1958     22     0.14445
1958     23     0.15509
1958     24     0.15974
1958     25     0.15760
1958     26     0.15228
1958     27     0.14284
1958     28     0.13223
1958     29     0.12185
1958     30     0.11033
1958     31     0.09986
1958     32     0.08803
1958     33     0.07834
1958     34     0.07034
1958     35     0.06072
1958     36     0.05142
1958     37     0.04252
1958     38     0.03535
1958     39     0.02881
1958     40     0.02172
1958     41     0.01595
1958     42     0.01063
1958     43     0.00667
1958     44     0.00409
1958     45     0.00203
1958     46     0.00094
1958     47     0.00048
1958     48     0.00024
1958     49     0.00011
1958     50     0.00005
1958     51     0.00003
1958     52     0.00001
1958     53     0.00001
1958     54     0.00000
